City,Longitude,Latitude,Temp. (max),Humidity,Cloudiness,Wind Speed,Dates
Esperance,121.9,-33.8667,58.84,70.0,75.0,37.38,1627355011.0
Touros,-35.4608,-5.1989,72.5,89.0,5.0,8.7,1627355247.0
New Norfolk,147.0587,-42.7826,60.93,60.0,58.0,5.01,1627355148.0
Mataura,168.8643,-46.1927,52.48,70.0,13.0,4.74,1627354986.0
Curaçá,-39.9094,-8.9903,73.71,65.0,89.0,15.12,1627355247.0
Maumere,122.2111,-8.6199,83.48,58.0,76.0,5.1,1627355248.0
Butaritari,172.7902,3.0707,82.44,74.0,41.0,5.88,1627355006.0
Tadine,167.8833,-21.55,72.0,56.0,73.0,14.41,1627355248.0
George Town,100.3354,5.4112,86.9,77.0,20.0,5.75,1627355248.0
Rikitea,-134.9692,-23.1203,74.98,81.0,98.0,18.41,1627355249.0
Anito,125.2886,12.4497,90.61,57.0,100.0,12.1,1627355249.0
Bethel,-73.414,41.3712,74.62,86.0,2.0,3.31,1627354859.0
Watertown,-71.1828,42.3709,76.01,79.0,1.0,1.99,1627355107.0
Kruisfontein,24.7314,-34.0033,68.88,27.0,11.0,19.33,1627355249.0
Avarua,-159.775,-21.2078,77.05,73.0,40.0,6.91,1627355010.0
Nālūt,10.85,30.3333,77.81,30.0,0.0,14.88,1627355134.0
Aklavik,-135.0107,68.2191,54.72,84.0,100.0,3.4,1627355002.0
Yining,114.5636,29.0361,87.03,70.0,72.0,7.38,1627355250.0
Karratha,116.8463,-20.7377,77.41,56.0,91.0,11.21,1627355072.0
,,,,,,,
Ostrovnoy,39.5131,68.0531,46.08,85.0,100.0,22.35,1627355028.0
Bluff,168.3333,-46.6,52.81,71.0,22.0,21.34,1627355251.0
Punta Arenas,-70.9167,-53.15,39.31,87.0,75.0,6.91,1627355251.0
Bredasdorp,20.0403,-34.5322,50.58,62.0,6.0,5.57,1627355251.0
Asău,26.4,46.4333,67.95,78.0,77.0,4.79,1627355251.0
Kiryat Gat,34.7642,31.61,77.4,86.0,0.0,3.78,1627354981.0
Port Alfred,26.891,-33.5906,61.45,31.0,30.0,11.21,1627355166.0
Kapaa,-159.319,22.0752,84.52,76.0,1.0,3.0,1627355155.0
Hobart,147.3294,-42.8794,61.27,56.0,75.0,3.0,1627355252.0
Atuona,-139.0333,-9.8,77.47,75.0,36.0,21.59,1627354953.0
Kita,-9.4895,13.0349,75.33,92.0,98.0,5.01,1627355252.0
Boshnyakovo,142.1667,49.6333,74.98,68.0,95.0,6.38,1627355253.0
Opuwo,13.84,-18.0607,53.91,42.0,0.0,8.75,1627355253.0
Sattahip,100.9007,12.6664,89.17,79.0,40.0,11.5,1627355253.0
Srednekolymsk,153.6833,67.45,56.44,44.0,96.0,18.43,1627355197.0
Ribeira Grande,-28.7,38.5167,71.11,88.0,95.0,9.08,1627355108.0
Tuatapere,167.6833,-46.1333,52.83,62.0,14.0,4.97,1627354937.0
Varca,73.9167,15.2167,80.44,83.0,100.0,15.48,1627355254.0
Nome,-165.4064,64.5011,50.07,93.0,90.0,11.5,1627355254.0
Provideniya,-173.3,64.3833,50.11,81.0,90.0,11.18,1627355254.0
High Prairie,-116.4858,55.4334,66.38,55.0,19.0,1.88,1627355255.0
Tuktoyaktuk,-133.0374,69.4541,46.44,74.0,100.0,10.49,1627354959.0
Hualmay,-77.6139,-11.0964,63.77,88.0,40.0,8.7,1627355031.0
Río Gallegos,-69.2181,-51.6226,35.65,93.0,75.0,5.75,1627355255.0
Saldanha,17.9442,-33.0117,55.22,91.0,0.0,9.95,1627355255.0
Trairi,-39.2689,-3.2778,78.21,79.0,4.0,13.09,1627355064.0
,,,,,,,
Turaif,38.6637,31.6725,80.37,33.0,0.0,13.38,1627355256.0
Nikolskoye,30.7861,59.7035,66.79,70.0,7.0,3.6,1627355256.0
Ushuaia,-68.3,-54.8,33.46,93.0,75.0,4.61,1627355102.0
Victor Harbor,138.6167,-35.5667,69.46,41.0,39.0,5.99,1627355257.0
Barrow,-156.7887,71.2906,46.42,93.0,90.0,8.05,1627355257.0
Namatanai,152.4333,-3.6667,84.7,67.0,23.0,5.46,1627355257.0
Salalah,54.0924,17.0151,78.89,89.0,75.0,9.22,1627355257.0
,,,,,,,
Ludhiana,75.85,30.9,81.18,84.0,100.0,8.3,1627355258.0
,,,,,,,
Bengkulu,102.2655,-3.8004,83.82,57.0,15.0,1.54,1627355258.0
Fukuechō,128.8419,32.6881,81.23,73.0,0.0,2.77,1627355258.0
Bambous Virieux,57.7575,-20.3428,67.21,77.0,75.0,14.25,1627355259.0
Torbay,-52.7314,47.6666,56.75,92.0,0.0,1.99,1627355259.0
Beringovskiy,179.3167,63.05,51.22,93.0,100.0,8.34,1627355052.0
Iqaluit,-68.5145,63.7506,47.7,87.0,100.0,1.86,1627355253.0
San Quintín,-115.95,30.4833,68.23,82.0,1.0,8.97,1627355178.0
,,,,,,,
Sola,167.55,-13.8833,80.53,77.0,59.0,16.26,1627355260.0
Lompoc,-120.4579,34.6391,73.22,84.0,90.0,3.44,1627355260.0
Albany,-73.9662,42.6001,69.93,83.0,0.0,4.12,1627355260.0
,,,,,,,
Dikson,80.5464,73.5069,38.7,99.0,100.0,8.95,1627355261.0
Naze,129.4833,28.3667,78.82,82.0,100.0,12.59,1627355131.0
Hermanus,19.2345,-34.4187,52.9,65.0,2.0,11.01,1627355261.0
Qaanaaq,-69.3632,77.484,42.21,87.0,100.0,9.37,1627355156.0
,,,,,,,
Ponta do Sol,-17.1,32.6667,74.03,71.0,1.0,4.83,1627355193.0
Saint-Augustin,-58.6502,51.226,57.83,92.0,100.0,9.06,1627355262.0
Makubetsu,141.8211,45.3714,79.14,67.0,2.0,16.46,1627355262.0
Vanimo,141.3028,-2.6741,86.05,65.0,47.0,7.58,1627355038.0
Souillac,57.5167,-20.5167,67.35,82.0,90.0,13.47,1627355168.0
Severo-Kuril'sk,156.125,50.6789,61.56,87.0,78.0,9.8,1627355262.0
Port Macquarie,152.9167,-31.4333,68.9,47.0,1.0,8.37,1627355193.0
,,,,,,,
,,,,,,,
Hithadhoo,73.0833,-0.6,81.21,73.0,100.0,5.21,1627355100.0
Comodoro Rivadavia,-67.5,-45.8667,42.24,72.0,100.0,26.28,1627355171.0
Melur,78.3333,10.05,87.62,59.0,100.0,7.27,1627355263.0
Vaini,-175.2,-21.2,73.35,73.0,99.0,15.14,1627354885.0
East London,27.9116,-33.0153,65.01,27.0,6.0,12.77,1627355196.0
Guisa,-76.5386,20.255,75.51,92.0,60.0,3.91,1627355167.0
Batemans Bay,150.1833,-35.7167,66.09,43.0,2.0,11.65,1627355264.0
Port Elizabeth,25.5701,-33.918,71.1,33.0,78.0,15.26,1627355094.0
Yellowknife,-114.3525,62.456,59.32,59.0,99.0,3.0,1627355264.0
Cape Town,18.4232,-33.9258,57.88,83.0,2.0,3.0,1627355160.0
Chokurdakh,147.9167,70.6333,45.05,63.0,100.0,13.29,1627354969.0
Narsaq,-46.05,60.9167,49.68,81.0,82.0,6.49,1627355265.0
Coquimbo,-71.3436,-29.9533,51.53,87.0,0.0,6.91,1627355222.0
Jiwani,61.7417,25.05,82.89,86.0,75.0,6.69,1627355265.0
Pemangkat,108.9667,1.1667,85.73,72.0,98.0,7.49,1627355265.0
Norsup,167.3833,-16.0667,80.4,76.0,90.0,15.21,1627355266.0
Hilo,-155.09,19.7297,75.25,94.0,49.0,1.99,1627355004.0
Yar-Sale,70.8333,66.8333,54.86,58.0,68.0,8.16,1627355266.0
Jetpur,70.6167,21.7333,85.55,86.0,100.0,16.75,1627355266.0
Grootfontein,18.1167,-19.5667,42.89,56.0,0.0,4.61,1627355267.0
Meulaboh,96.1285,4.1363,83.75,69.0,65.0,1.41,1627355177.0
Anadyr,177.4833,64.75,52.3,93.0,75.0,8.01,1627355267.0
Yulara,130.9889,-25.2406,80.44,16.0,8.0,25.32,1627355267.0
,,,,,,,
Busselton,115.3333,-33.65,55.04,57.0,96.0,25.19,1627355268.0
,,,,,,,
Oranjemund,16.4333,-28.55,58.03,60.0,0.0,7.31,1627355058.0
Castro,-50.0119,-24.7911,58.21,60.0,61.0,5.14,1627354877.0
Sept-Îles,-66.3821,50.2001,63.12,93.0,90.0,1.01,1627355079.0
College,-147.8028,64.8569,71.55,48.0,75.0,6.91,1627355206.0
Kavieng,150.7967,-2.5744,85.12,65.0,43.0,4.32,1627354981.0
,,,,,,,
Mar del Plata,-57.5575,-38.0023,39.0,45.0,10.0,8.01,1627355269.0
Buenos Aires,-58.3772,-34.6132,48.94,54.0,54.0,4.0,1627354981.0
Netivot,34.5886,31.4222,74.89,85.0,0.0,4.61,1627355269.0
Brejo Santo,-38.9872,-7.4933,73.56,63.0,100.0,5.59,1627355253.0
Kahului,-156.47,20.8947,83.46,76.0,40.0,25.32,1627355164.0
Alta Floresta,-56.0861,-9.8756,71.17,49.0,4.0,1.41,1627355269.0
Tasiilaq,-37.6368,65.6145,35.08,89.0,27.0,5.61,1627355129.0
Laas,10.7002,46.6166,61.02,96.0,100.0,1.52,1627355047.0
Longyearbyen,15.6401,78.2186,42.64,93.0,90.0,1.14,1627355270.0
Marsabit,37.9899,2.3284,57.52,76.0,95.0,13.71,1627355270.0
Mnogovershinnyy,139.9242,53.9353,71.69,59.0,100.0,4.41,1627355270.0
Jinchang,102.1739,38.4953,75.33,32.0,100.0,20.58,1627355132.0
Conde,-34.9075,-7.2597,71.06,100.0,20.0,4.61,1627355235.0
Dingle,122.6711,10.9995,88.66,62.0,45.0,18.1,1627355155.0
Sumenep,113.8667,-7.0167,83.97,54.0,4.0,11.34,1627355271.0
Zhigansk,123.3711,66.7697,62.35,53.0,6.0,17.65,1627355271.0
Mwene-Ditu,23.45,-7.0,58.35,43.0,83.0,5.57,1627355272.0
Centenário do Sul,-51.5953,-22.8211,65.55,43.0,3.0,3.74,1627355272.0
Grajewo,22.4554,53.6473,62.04,98.0,87.0,5.66,1627355272.0
Banepā,85.5214,27.6298,73.72,88.0,75.0,0.0,1627355273.0
Hofn,-15.2082,64.2539,51.85,91.0,100.0,7.02,1627355062.0
,,,,,,,
Kitimat,-128.6534,54.0524,58.91,87.0,89.0,4.21,1627355273.0
Mount Gambier,140.7667,-37.8333,57.11,54.0,100.0,19.57,1627355273.0
Berezovyy,135.7,51.6667,68.14,95.0,100.0,4.41,1627355274.0
Sitka,-135.33,57.0531,64.29,63.0,40.0,0.0,1627355274.0
La Santisima Trinidad,-64.9,-14.8333,78.04,53.0,8.0,3.33,1627355274.0
Puerto Ayora,-90.3518,-0.7393,71.55,87.0,43.0,7.0,1627355121.0
Whitehorse,-135.0538,60.7161,52.02,87.0,100.0,10.0,1627355275.0
Pangoa,-73.0,-12.1167,68.99,78.0,0.0,3.06,1627355275.0
Godalming,-0.6173,51.1846,65.43,84.0,40.0,18.41,1627355275.0
Leningradskiy,178.4167,69.3833,40.69,83.0,86.0,9.62,1627355275.0
Ilulissat,-51.1,69.2167,45.1,90.0,99.0,6.89,1627355127.0
Biscarrosse,-1.1672,44.3945,60.66,94.0,20.0,0.0,1627355276.0
Carnarvon,113.6333,-24.8667,70.25,58.0,17.0,17.56,1627355035.0
Kargasok,80.8572,59.0556,59.38,58.0,29.0,15.5,1627355121.0
Faanui,-151.75,-16.4833,78.37,76.0,53.0,9.89,1627355058.0
Paamiut,-49.6678,61.994,44.74,94.0,100.0,11.97,1627355033.0
Sambava,50.1667,-14.2667,67.57,85.0,47.0,14.43,1627355277.0
Gravdal,13.5031,68.1214,54.16,91.0,24.0,8.48,1627354990.0
Khatanga,102.5,71.9667,72.72,52.0,99.0,18.72,1627355160.0
Pandan Niog,120.5631,6.2282,84.15,78.0,63.0,15.97,1627355277.0
Salinas,-121.6555,36.6777,75.22,79.0,1.0,10.36,1627355101.0
Boralday,76.8594,43.3578,78.66,44.0,40.0,11.18,1627355277.0
Haverhill,-71.0773,42.7762,75.92,88.0,1.0,4.61,1627355278.0
Dwārka,68.9678,22.2394,83.05,83.0,100.0,24.29,1627355278.0
Mataram,116.1167,-8.5833,85.01,53.0,12.0,7.31,1627355278.0
Mogadishu,45.3438,2.0371,76.12,82.0,95.0,21.85,1627355279.0
Bilibino,166.4372,68.0546,55.94,45.0,76.0,16.87,1627355048.0
Luena,19.9167,-11.7833,45.61,50.0,100.0,4.7,1627355279.0
Ndélé,20.6473,8.4109,68.34,98.0,100.0,2.33,1627355279.0
,,,,,,,
Lavrentiya,-171.0,65.5833,44.89,99.0,100.0,4.18,1627355280.0
Niquelândia,-48.4597,-14.4739,65.84,43.0,0.0,3.24,1627354990.0
Dicabisagan,122.4157,17.0818,91.02,58.0,86.0,4.32,1627355280.0
Waingapu,120.2641,-9.6567,86.13,53.0,35.0,12.33,1627355194.0
Urengoy,78.3667,65.9667,47.68,96.0,100.0,18.95,1627355280.0
Saint-Philippe,55.7679,-21.3585,65.79,84.0,83.0,9.15,1627355281.0
Richards Bay,32.0377,-28.783,60.22,60.0,21.0,14.56,1627355120.0
Puerto Escondido,-97.0667,15.85,83.23,69.0,40.0,6.91,1627355196.0
Centerville,-84.1594,39.6284,75.18,79.0,1.0,0.0,1627355281.0
Märsta,17.8548,59.6216,69.19,94.0,89.0,9.22,1627355282.0
Hambantota,81.1185,6.1241,84.54,79.0,100.0,13.8,1627355282.0
Manuk Mangkaw,119.85,4.8,84.63,78.0,18.0,16.17,1627355282.0
Abhā,42.5053,18.2164,64.78,73.0,73.0,3.24,1627355282.0
Deming,-107.7586,32.2687,80.78,36.0,40.0,10.36,1627355055.0
Langarūd,50.1535,37.197,73.45,65.0,2.0,2.28,1627355283.0
Quatre Cocos,57.7625,-20.2078,67.08,77.0,77.0,13.4,1627355219.0
Baruun-Urt,113.2792,46.6806,70.38,50.0,16.0,3.98,1627355043.0
Saskylakh,114.0833,71.9167,60.67,58.0,98.0,9.08,1627355283.0
Mackenzie,-123.1698,55.2999,60.13,75.0,62.0,3.36,1627355284.0
Fairbanks,-147.7164,64.8378,71.56,49.0,75.0,9.22,1627355157.0
Peniche,-9.3811,39.3558,66.72,89.0,7.0,15.97,1627355284.0
Caravelas,-39.2481,-17.7125,68.29,91.0,4.0,4.76,1627355284.0
,,,,,,,
Raymond,-70.4703,43.9015,70.99,91.0,8.0,2.77,1627355285.0
Ambilobe,49.05,-13.2,65.66,74.0,48.0,3.78,1627355237.0
Thompson,-97.8558,55.7435,60.84,41.0,10.0,3.04,1627355059.0
Havre-St-Pierre,-63.5986,50.2334,58.28,98.0,84.0,5.21,1627355071.0
Tezu,96.1667,27.9167,77.97,98.0,100.0,0.54,1627355097.0
Fortuna,-124.1573,40.5982,56.86,90.0,90.0,1.01,1627355285.0
Luganville,167.1667,-15.5333,79.29,85.0,98.0,11.88,1627355286.0
Suntar,117.6319,62.1444,88.2,37.0,32.0,2.82,1627355222.0
Charlottesville,-78.4767,38.0293,76.59,89.0,75.0,1.99,1627355231.0
Port Blair,92.75,11.6667,84.31,80.0,75.0,20.67,1627355204.0
Kushima,131.2333,31.4583,89.11,57.0,0.0,5.55,1627355286.0
The Valley,-63.0578,18.217,82.09,75.0,98.0,18.23,1627355286.0
Antalaha,50.2788,-14.9003,67.5,82.0,76.0,9.95,1627355217.0
Sisimiut,-53.6735,66.9395,57.87,65.0,73.0,13.13,1627355287.0
Pevek,170.3133,69.7008,36.46,88.0,86.0,18.61,1627355287.0
Northam,-4.2167,51.0333,63.66,97.0,100.0,10.2,1627355287.0
Guangming,122.7833,45.3333,80.08,73.0,99.0,7.07,1627355288.0
Shahr-e Bābak,55.1186,30.1165,77.47,21.0,2.0,19.91,1627355288.0
Gurun,100.4738,5.8172,86.74,68.0,75.0,2.44,1627355288.0
Prainha,-53.48,-1.8,75.63,67.0,19.0,2.57,1627355289.0
Lakes Entrance,147.981,-37.8811,66.18,42.0,4.0,8.34,1627355289.0
Jumla,82.1838,29.2747,69.28,86.0,98.0,3.06,1627355054.0
Ancud,-73.8203,-41.8697,42.33,80.0,26.0,4.7,1627355289.0
Bouza,6.0428,14.4229,72.64,84.0,100.0,7.63,1627355290.0
Saint George,-113.5841,37.1041,79.54,83.0,1.0,3.44,1627355290.0
,,,,,,,
Marsh Harbour,-77.0636,26.5412,82.98,76.0,3.0,10.31,1627355290.0
Pochutla,-96.4661,15.7432,81.45,93.0,100.0,3.94,1627355291.0
Isahaya,130.0431,32.8411,97.45,59.0,20.0,6.91,1627355291.0
Madison,-86.5667,34.7334,79.47,88.0,20.0,1.01,1627355125.0
Murgab,61.9714,37.4966,89.24,18.0,0.0,15.93,1627355291.0
Los Llanos de Aridane,-17.9182,28.6585,69.55,96.0,90.0,13.8,1627355058.0
Buri,-48.5928,-23.7975,60.08,51.0,2.0,3.49,1627355292.0
Kushiro,144.3747,42.975,65.35,97.0,100.0,11.99,1627355292.0
Lahān,86.4951,26.7296,80.96,87.0,100.0,2.28,1627355292.0
Lamu,40.902,-2.2717,71.82,80.0,55.0,19.17,1627355292.0
,,,,,,,
Tual,132.75,-5.6667,81.52,77.0,50.0,17.0,1627355293.0
Nador,-2.9287,35.174,68.25,88.0,0.0,1.14,1627355293.0
Mehamn,27.8492,71.0357,40.95,93.0,0.0,2.3,1627355293.0
Makanya,37.8333,-4.3667,58.59,83.0,12.0,3.53,1627355294.0
Contamana,-75.0167,-7.3333,75.96,74.0,11.0,1.97,1627355294.0
Chabahar,60.643,25.2919,84.79,80.0,70.0,4.61,1627355294.0
Arraial do Cabo,-42.0278,-22.9661,69.94,85.0,0.0,25.08,1627355295.0
Agbor,6.1934,6.2518,68.13,89.0,99.0,3.89,1627355295.0
Avera,-82.5271,33.194,81.91,70.0,49.0,6.38,1627355295.0
Ahar,47.0699,38.4774,69.4,62.0,56.0,3.2,1627355295.0
Mlowo,32.9833,-9.0,43.88,94.0,21.0,4.38,1627355296.0
São José da Coroa Grande,-35.1478,-8.8978,73.72,88.0,48.0,7.02,1627355296.0
Hīt,42.8251,33.6416,95.68,20.0,6.0,10.54,1627355296.0
Olinda,-34.8553,-8.0089,69.53,88.0,75.0,4.61,1627355288.0
Carauari,-66.8958,-4.8828,76.3,76.0,45.0,2.19,1627355297.0
Seminole,-81.2081,28.7086,82.53,86.0,1.0,5.75,1627355297.0
Upernavik,-56.1549,72.7868,46.18,90.0,100.0,9.42,1627354954.0
,,,,,,,
Hong Kong,114.1577,22.2855,94.96,77.0,99.0,7.0,1627355298.0
Mahébourg,57.7,-20.4081,67.24,78.0,76.0,14.72,1627355147.0
Marzuq,46.4667,14.4,72.93,75.0,86.0,6.33,1627355298.0
Buta,24.73,2.7858,69.48,99.0,100.0,1.9,1627355298.0
Rocha,-54.3333,-34.4833,43.23,92.0,4.0,5.97,1627355191.0
Hābra,88.6275,22.8344,84.09,79.0,95.0,5.44,1627355299.0
Tessalit,1.0114,20.1986,90.86,35.0,100.0,7.72,1627355299.0
Nyurba,118.3319,63.2842,84.22,47.0,0.0,5.75,1627355299.0
Isangel,169.2667,-19.55,74.53,64.0,100.0,15.39,1627354983.0
Kaitangata,169.8464,-46.2817,55.92,46.0,8.0,8.1,1627355061.0
